id;jhi_key;first_name;last_name;team_role;exchange_allowed
1;13896;Heidi;Sanford;nervously;false
2;31051;Laisha;Barton;highly;false
3;4250;Dee;Cruickshank;versus hello vista;true
4;30426;Kristoffer;Paucek;consequently redesign gelatin;false
5;6786;Brianne;Bashirian-Zboncak;posterior coalesce;false
6;3062;Katlynn;Ernser;darling lever oddball;true
7;26607;Hermann;Champlin;foolish;false
8;24382;Marlee;Goldner;uselessly although mythology;false
9;22679;Deion;Jast;windsurf monthly;true
10;14749;Doyle;Heaney;ephemera zowie;true
